Sum of AMOUNT,delivery,HOUR_,INVHED_TXNDATE,LOC_CODE,ORDERS
550,OTHER,8,2025-08-19 00:00:00,001,1
700,OTHER,10,2025-08-19 00:00:00,001,1
380,OTHER,12,2025-08-19 00:00:00,001,1
2860,OTHER,13,2025-08-19 00:00:00,001,1
1275.8,OTHER,14,2025-08-19 00:00:00,009,1
1756,OTHER,16,2025-08-19 00:00:00,001,1
240,OTHER,17,2025-08-19 00:00:00,001,1
0,OTHER,19,2025-08-19 00:00:00,009,1
350,PICKME,0,2025-08-19 00:00:00,001,1
1500,PICKME,1,2025-08-19 00:00:00,005,1
463.25,PICKME,1,2025-08-19 00:00:00,009,1
220,PICKME,2,2025-08-19 00:00:00,009,1
280,PICKME,3,2025-08-19 00:00:00,001,1
1185,PICKME,3,2025-08-19 00:00:00,009,1
2759,PICKME,4,2025-08-19 00:00:00,009,1
555,PICKME,5,2025-08-19 00:00:00,009,1
680,UBER,2,2025-08-19 00:00:00,009,1
3948,UBER,6,2025-08-19 00:00:00,009,1
600.48,OTHER,15,2025-08-19 00:00:00,001,2
2869,PICKME,0,2025-08-19 00:00:00,005,2
4619,PICKME,6,2025-08-19 00:00:00,009,2
6204.6,PICKME,9,2025-08-19 00:00:00,009,2
1775,UBER,3,2025-08-19 00:00:00,009,2
1960,UBER,4,2025-08-19 00:00:00,009,2
-4525,UBER,5,2025-08-19 00:00:00,009,2
5519,PICKME,2,2025-08-19 00:00:00,001,3
4091,PICKME,2,2025-08-19 00:00:00,005,3
2836.4,PICKME,6,2025-08-19 00:00:00,001,3
6856,PICKME,7,2025-08-19 00:00:00,009,3
4798.6,PICKME,15,2025-08-19 00:00:00,005,3
1260.4,UBER,2,2025-08-19 00:00:00,005,3
2795,UBER,3,2025-08-19 00:00:00,001,3
1906.4,UBER,3,2025-08-19 00:00:00,005,3
2300,UBER,4,2025-08-19 00:00:00,001,3
1063.25,UBER,5,2025-08-19 00:00:00,001,3
8669.15,UBER,5,2025-08-19 00:00:00,005,3
13962,PICKME,0,2025-08-19 00:00:00,009,4
10869,PICKME,1,2025-08-19 00:00:00,001,4
3866,PICKME,5,2025-08-19 00:00:00,001,4
8490.5,PICKME,8,2025-08-19 00:00:00,009,4
10419.65,PICKME,12,2025-08-19 00:00:00,005,4
6238.2,PICKME,17,2025-08-19 00:00:00,009,4
2095,UBER,2,2025-08-19 00:00:00,001,4
4826.45,UBER,6,2025-08-19 00:00:00,005,4
11756,PICKME,4,2025-08-19 00:00:00,001,5
6419.8,PICKME,6,2025-08-19 00:00:00,005,5
8399.4,PICKME,7,2025-08-19 00:00:00,005,5
10853,PICKME,14,2025-08-19 00:00:00,009,5
8146.1,PICKME,15,2025-08-19 00:00:00,001,5
8620.65,PICKME,16,2025-08-19 00:00:00,009,5
15401.95,PICKME,17,2025-08-19 00:00:00,001,5
4795,UBER,1,2025-08-19 00:00:00,009,5
8526.4,OTHER,11,2025-08-19 00:00:00,001,6
-3668.6,PICKME,5,2025-08-19 00:00:00,005,6
11476.05,PICKME,10,2025-08-19 00:00:00,005,6
6721.4,PICKME,13,2025-08-19 00:00:00,005,6
16860,PICKME,14,2025-08-19 00:00:00,001,6
9876,PICKME,14,2025-08-19 00:00:00,005,6
10746.4,PICKME,22,2025-08-19 00:00:00,001,6
10987,UBER,6,2025-08-19 00:00:00,001,6
16218,PICKME,7,2025-08-19 00:00:00,001,7
11326.15,PICKME,8,2025-08-19 00:00:00,005,8
24758,PICKME,11,2025-08-19 00:00:00,001,8
28210.55,PICKME,11,2025-08-19 00:00:00,009,8
15259.3,PICKME,12,2025-08-19 00:00:00,001,8
17287.6,PICKME,17,2025-08-19 00:00:00,005,8
16668.5,PICKME,18,2025-08-19 00:00:00,005,8
12539.95,PICKME,21,2025-08-19 00:00:00,009,8
11416.6,PICKME,22,2025-08-19 00:00:00,005,8
14624.75,PICKME,23,2025-08-19 00:00:00,005,8
14581.4,PICKME,23,2025-08-19 00:00:00,009,8
7463,UBER,0,2025-08-19 00:00:00,001,8
12765.5,UBER,1,2025-08-19 00:00:00,001,8
15608.2,UBER,7,2025-08-19 00:00:00,005,8
10996.9,UBER,7,2025-08-19 00:00:00,009,8
31229.7,PICKME,9,2025-08-19 00:00:00,001,9
31631.3,PICKME,13,2025-08-19 00:00:00,001,9
15207.3,PICKME,16,2025-08-19 00:00:00,005,9
13065,PICKME,20,2025-08-19 00:00:00,001,9
15550.85,PICKME,23,2025-08-19 00:00:00,001,9
11564,UBER,0,2025-08-19 00:00:00,009,9
25901.8,PICKME,10,2025-08-19 00:00:00,001,10
24260.8,PICKME,12,2025-08-19 00:00:00,009,10
20826.3,PICKME,16,2025-08-19 00:00:00,001,10
22396.2,PICKME,20,2025-08-19 00:00:00,005,10
21742.2,PICKME,21,2025-08-19 00:00:00,001,10
29675,PICKME,22,2025-08-19 00:00:00,009,10
41252.55,PICKME,13,2025-08-19 00:00:00,009,11
23536.6,PICKME,18,2025-08-19 00:00:00,009,11
25313.35,UBER,7,2025-08-19 00:00:00,001,11
49787.15,PICKME,8,2025-08-19 00:00:00,001,12
40907.25,PICKME,10,2025-08-19 00:00:00,009,12
32359.6,PICKME,18,2025-08-19 00:00:00,001,12
17850.1,UBER,9,2025-08-19 00:00:00,009,12
24260.95,PICKME,9,2025-08-19 00:00:00,005,13
27171.65,UBER,8,2025-08-19 00:00:00,001,13
56525.3,PICKME,19,2025-08-19 00:00:00,001,14
28867.1,PICKME,20,2025-08-19 00:00:00,009,14
27397.4,PICKME,21,2025-08-19 00:00:00,005,14
34659.6,UBER,8,2025-08-19 00:00:00,005,14
16540.6,UBER,15,2025-08-19 00:00:00,005,14
36773.55,PICKME,11,2025-08-19 00:00:00,005,15
24693.9,UBER,22,2025-08-19 00:00:00,005,15
14806,UBER,1,2025-08-19 00:00:00,005,16
36883.75,UBER,12,2025-08-19 00:00:00,009,16
14660.35,UBER,23,2025-08-19 00:00:00,001,16
15114.2,UBER,23,2025-08-19 00:00:00,005,16
42668.7,PICKME,15,2025-08-19 00:00:00,009,17
38413.7,PICKME,19,2025-08-19 00:00:00,005,17
43594.5,UBER,14,2025-08-19 00:00:00,001,17
27815.91,UBER,15,2025-08-19 00:00:00,001,17
37924.9,UBER,16,2025-08-19 00:00:00,001,17
30120.4,UBER,16,2025-08-19 00:00:00,009,17
41242.5,UBER,17,2025-08-19 00:00:00,001,17
35073.6,PICKME,19,2025-08-19 00:00:00,009,18
20051.35,UBER,0,2025-08-19 00:00:00,005,19
35137.1,UBER,15,2025-08-19 00:00:00,009,19
51820.4,UBER,21,2025-08-19 00:00:00,001,19
49097.5,UBER,9,2025-08-19 00:00:00,005,20
47929.75,UBER,10,2025-08-19 00:00:00,009,20
46289.2,UBER,13,2025-08-19 00:00:00,005,21
43465.4,UBER,13,2025-08-19 00:00:00,009,21
38547.25,UBER,21,2025-08-19 00:00:00,009,21
32232.8,UBER,8,2025-08-19 00:00:00,009,22
37334.3,UBER,17,2025-08-19 00:00:00,005,22
54660.88,UBER,11,2025-08-19 00:00:00,005,23
51778.3,UBER,14,2025-08-19 00:00:00,009,23
33273.65,UBER,22,2025-08-19 00:00:00,001,23
45695.75,UBER,18,2025-08-19 00:00:00,005,24
52858.85,UBER,10,2025-08-19 00:00:00,005,25
43579.1,UBER,16,2025-08-19 00:00:00,005,25
76804.3,UBER,17,2025-08-19 00:00:00,009,25
57396.4,UBER,9,2025-08-19 00:00:00,001,26
45547.65,UBER,14,2025-08-19 00:00:00,005,26
69819.05,UBER,11,2025-08-19 00:00:00,001,27
38472.85,UBER,12,2025-08-19 00:00:00,005,28
55591.15,UBER,13,2025-08-19 00:00:00,001,28
33286.45,UBER,23,2025-08-19 00:00:00,009,28
56343.05,UBER,20,2025-08-19 00:00:00,005,29
32010.85,UBER,22,2025-08-19 00:00:00,009,29
106537.75,UBER,10,2025-08-19 00:00:00,001,31
59138.89,UBER,19,2025-08-19 00:00:00,009,31
46490.2,UBER,21,2025-08-19 00:00:00,005,31
65329.22,UBER,12,2025-08-19 00:00:00,001,32
68221.16,UBER,18,2025-08-19 00:00:00,001,32
83010.65,UBER,19,2025-08-19 00:00:00,001,32
52432.5,UBER,20,2025-08-19 00:00:00,001,34
61938,UBER,11,2025-08-19 00:00:00,009,35
71793.75,UBER,18,2025-08-19 00:00:00,009,41
89753.2,UBER,19,2025-08-19 00:00:00,005,45
78589.45,UBER,20,2025-08-19 00:00:00,009,47
