Sum of AMOUNT,Sum of HOUR_,delivery,LOC_CODE,INVHED_TXNDATE,ORDERS
10721.04,96,OTHER,001,2025-09-18 00:00:00,1
17248.29,68,OTHER,001,2025-09-18 00:00:00,2
8025.4,20,OTHER,001,2025-09-18 00:00:00,3
8914.8,20,OTHER,001,2025-09-18 00:00:00,5
1598,5,PICKME,001,2025-09-18 00:00:00,1
6798,2,PICKME,001,2025-09-18 00:00:00,2
6749,24,PICKME,001,2025-09-18 00:00:00,3
14132.65,13,PICKME,001,2025-09-18 00:00:00,4
16975.3,13,PICKME,001,2025-09-18 00:00:00,5
14309.45,8,PICKME,001,2025-09-18 00:00:00,6
91288.8,53,PICKME,001,2025-09-18 00:00:00,7
16263,0,PICKME,001,2025-09-18 00:00:00,8
32602.45,16,PICKME,001,2025-09-18 00:00:00,10
22872,18,PICKME,001,2025-09-18 00:00:00,11
57182.25,24,PICKME,001,2025-09-18 00:00:00,12
31282.04,20,PICKME,001,2025-09-18 00:00:00,13
34228.7,11,PICKME,001,2025-09-18 00:00:00,14
71696.15,43,PICKME,001,2025-09-18 00:00:00,16
31858.4,19,PICKME,001,2025-09-18 00:00:00,17
1091.34,4,PICKME,005,2025-09-18 00:00:00,1
5118,2,PICKME,005,2025-09-18 00:00:00,2
11930.8,5,PICKME,005,2025-09-18 00:00:00,3
51858.1,36,PICKME,005,2025-09-18 00:00:00,6
38298.35,31,PICKME,005,2025-09-18 00:00:00,7
69193.8,35,PICKME,005,2025-09-18 00:00:00,9
92248.4,61,PICKME,005,2025-09-18 00:00:00,11
46531,29,PICKME,005,2025-09-18 00:00:00,12
24800.3,10,PICKME,005,2025-09-18 00:00:00,13
34438.6,19,PICKME,005,2025-09-18 00:00:00,14
39436.45,18,PICKME,005,2025-09-18 00:00:00,16
30312.95,22,PICKME,005,2025-09-18 00:00:00,17
3155,5,PICKME,009,2025-09-18 00:00:00,2
9297.75,1,PICKME,009,2025-09-18 00:00:00,3
58967.75,23,PICKME,009,2025-09-18 00:00:00,4
17431.45,9,PICKME,009,2025-09-18 00:00:00,5
37392.8,22,PICKME,009,2025-09-18 00:00:00,7
22225.85,14,PICKME,009,2025-09-18 00:00:00,9
64120,37,PICKME,009,2025-09-18 00:00:00,10
81053.75,35,PICKME,009,2025-09-18 00:00:00,11
31612.05,15,PICKME,009,2025-09-18 00:00:00,12
38296.1,11,PICKME,009,2025-09-18 00:00:00,13
70186.15,37,PICKME,009,2025-09-18 00:00:00,14
32033.8,23,PICKME,009,2025-09-18 00:00:00,15
35748.2,20,PICKME,009,2025-09-18 00:00:00,17
56282.05,17,PICKME,009,2025-09-18 00:00:00,18
1301,4,UBER,001,2025-09-18 00:00:00,1
8249.15,5,UBER,001,2025-09-18 00:00:00,3
8660.4,1,UBER,001,2025-09-18 00:00:00,9
23630.75,6,UBER,001,2025-09-18 00:00:00,11
51679.09,7,UBER,001,2025-09-18 00:00:00,14
15751.94,0,UBER,001,2025-09-18 00:00:00,16
21528.14,23,UBER,001,2025-09-18 00:00:00,20
115194.8,19,UBER,001,2025-09-18 00:00:00,22
74803.55,13,UBER,001,2025-09-18 00:00:00,24
68098.09,12,UBER,001,2025-09-18 00:00:00,25
52941.5,22,UBER,001,2025-09-18 00:00:00,27
159538.2,48,UBER,001,2025-09-18 00:00:00,28
76614.65,15,UBER,001,2025-09-18 00:00:00,29
84414.26,8,UBER,001,2025-09-18 00:00:00,33
68695.86,14,UBER,001,2025-09-18 00:00:00,35
93976.03,19,UBER,001,2025-09-18 00:00:00,40
87406.5,17,UBER,001,2025-09-18 00:00:00,42
104670.8,18,UBER,001,2025-09-18 00:00:00,43
74741,20,UBER,001,2025-09-18 00:00:00,48
2325,2,UBER,005,2025-09-18 00:00:00,2
4140,7,UBER,005,2025-09-18 00:00:00,3
15076.15,6,UBER,005,2025-09-18 00:00:00,9
83627.11,18,UBER,005,2025-09-18 00:00:00,16
38868.35,16,UBER,005,2025-09-18 00:00:00,18
17235.05,23,UBER,005,2025-09-18 00:00:00,19
37705.5,13,UBER,005,2025-09-18 00:00:00,20
41106.35,10,UBER,005,2025-09-18 00:00:00,23
49861.8,14,UBER,005,2025-09-18 00:00:00,25
59957.35,8,UBER,005,2025-09-18 00:00:00,27
134237.9,21,UBER,005,2025-09-18 00:00:00,28
55472.36,16,UBER,005,2025-09-18 00:00:00,30
48620.7,22,UBER,005,2025-09-18 00:00:00,36
83502.35,17,UBER,005,2025-09-18 00:00:00,38
60755.3,21,UBER,005,2025-09-18 00:00:00,42
115001.9,18,UBER,005,2025-09-18 00:00:00,48
68909.65,20,UBER,005,2025-09-18 00:00:00,50
101401.7,19,UBER,005,2025-09-18 00:00:00,53
4717.2,7,UBER,009,2025-09-18 00:00:00,1
6614.4,8,UBER,009,2025-09-18 00:00:00,2
10740.6,7,UBER,009,2025-09-18 00:00:00,7
10359.8,0,UBER,009,2025-09-18 00:00:00,8
41164.15,9,UBER,009,2025-09-18 00:00:00,14
33937.1,6,UBER,009,2025-09-18 00:00:00,15
83097.25,27,UBER,009,2025-09-18 00:00:00,19
43766.2,12,UBER,009,2025-09-18 00:00:00,25
87504.71,15,UBER,009,2025-09-18 00:00:00,26
69942.69,10,UBER,009,2025-09-18 00:00:00,27
58335.5,18,UBER,009,2025-09-18 00:00:00,28
52213.95,22,UBER,009,2025-09-18 00:00:00,29
44188.3,21,UBER,009,2025-09-18 00:00:00,30
111198.3,33,UBER,009,2025-09-18 00:00:00,31
129466.96,34,UBER,009,2025-09-18 00:00:00,35
74709.65,8,UBER,009,2025-09-18 00:00:00,37
